ALGOR,CRIT_DIST,ORI_ERROR,time_step,time_horizon,Mean_avoided_collisions,Mean_navigation_time,Mean_CA_time,Mean_distance_travelled,Minimum_avoided_collisions,Minimum_navigation_time,Minimum_CA_time,Minimum_distance_travelled,Maximum_avoided_collisions,Maximum_navigation_time,Maximum_CA_time,Maximum_distance_travelled
2,10.0,0.8,0.5,5.0,12.0,85.18,43.18,33.25,12,84.37,40.9,32.65,12,86.21,47.48,33.99
2,10.0,0.8,0.5,10.0,12.0,84.85,41.92,32.97,12,82.91,39.28,32.29,12,86.94,43.6,33.72
2,10.0,0.8,0.5,20.0,13.2,89.7,46.68,34.86,12,85.29,42.94,32.81,14,95.29,51.53,35.68
2,10.0,0.8,1.0,5.0,12.0,86.11,47.39,34.32,12,80.44,41.18,31.28,12,90.9,53.92,37.51
2,10.0,0.8,1.0,10.0,11.8,86.47,43.16,33.54,10,80.94,38.63,32.47,13,93.71,47.91,35.2
2,10.0,0.8,1.0,20.0,13.4,89.94,46.76,35.24,12,83.56,42.6,33.36,15,99.85,56.15,38.47
2,20.0,0.4,0.1,5.0,12.4,88.53,83.35,31.89,12,83.64,77.81,30.99,14,92.54,87.18,33.09
2,20.0,0.4,0.1,10.0,12.0,82.08,74.07,30.45,12,77.86,72.69,29.97,12,86.3,75.93,31.06
2,20.0,0.4,0.1,20.0,13.4,91.06,83.08,32.2,12,86.89,78.37,30.87,17,101.51,94.83,34.4
2,20.0,0.4,0.5,5.0,12.2,83.73,75.7,31.28,12,79.69,72.98,30.14,13,90.85,79.74,32.42
2,20.0,0.4,0.5,10.0,12.8,79.39,73.45,30.15,12,75.98,70.09,29.45,14,87.26,78.47,31.71
2,20.0,0.4,0.5,20.0,12.8,82.85,76.74,30.65,12,79.71,73.87,30.0,14,88.03,83.23,31.6
2,20.0,0.4,1.0,5.0,12.2,77.86,71.66,30.17,12,74.89,69.45,29.66,13,81.95,73.35,30.77
2,20.0,0.4,1.0,10.0,12.0,79.14,72.39,30.02,12,77.35,71.65,29.79,12,80.81,73.17,30.36
2,20.0,0.4,1.0,20.0,12.8,92.1,83.86,32.27,12,83.07,73.21,30.75,14,117.4,107.44,37.06
2,20.0,0.6,0.1,5.0,12.0,85.59,79.45,32.26,12,82.45,76.7,31.6,12,93.45,83.45,33.95
2,20.0,0.6,0.1,10.0,12.0,81.89,75.65,31.17,12,77.89,72.13,30.17,12,84.7,78.03,31.77
2,20.0,0.6,0.1,20.0,12.6,85.67,76.19,31.34,12,78.85,70.62,30.29,15,89.28,78.68,32.1
2,20.0,0.6,0.5,5.0,12.0,78.24,72.43,30.63,12,76.72,71.06,30.34,12,78.86,73.33,30.95
2,20.0,0.6,0.5,10.0,12.4,76.35,70.88,30.0,12,72.99,68.76,29.42,14,78.75,73.13,30.66
2,20.0,0.6,0.5,20.0,12.0,80.85,74.31,30.73,12,79.52,71.72,30.43,12,82.43,76.19,30.96
2,20.0,0.6,1.0,5.0,12.4,76.39,70.65,30.22,12,74.49,67.81,29.79,14,78.55,73.79,30.52
2,20.0,0.6,1.0,10.0,12.0,77.45,72.44,30.08,12,74.83,69.03,29.28,12,80.69,74.96,30.41
2,20.0,0.6,1.0,20.0,12.6,80.16,71.4,30.94,12,79.17,69.21,30.54,14,83.04,73.45,31.4
2,20.0,0.8,0.1,5.0,12.4,85.64,80.35,32.48,12,78.8,73.46,31.09,14,93.26,87.04,33.19
2,20.0,0.8,0.1,10.0,12.0,77.42,72.79,30.67,12,76.1,70.72,30.14,12,80.49,77.16,31.7
2,20.0,0.8,0.1,20.0,12.0,88.12,80.28,32.6,12,85.05,79.13,32.01,12,92.4,83.08,33.15
2,20.0,0.8,0.5,5.0,12.4,78.36,72.59,30.82,12,76.07,70.57,30.1,14,79.65,74.62,31.27
2,20.0,0.8,0.5,10.0,12.0,77.48,71.64,30.32,12,76.23,69.97,29.74,12,79.91,72.79,31.13
2,20.0,0.8,0.5,20.0,12.0,82.09,74.18,31.48,12,79.95,70.93,30.92,12,85.65,76.32,32.23
2,20.0,0.8,1.0,5.0,12.8,76.71,69.84,30.32,12,74.94,66.64,29.71,14,79.19,72.47,30.84
2,20.0,0.8,1.0,10.0,12.4,78.65,73.39,30.61,12,76.79,71.39,30.06,14,82.7,78.02,31.46
2,20.0,0.8,1.0,20.0,12.4,79.06,70.05,31.01,12,77.44,68.39,30.4,14,80.58,74.47,31.72
